word,frequency_garnett,frequency_fell,frequency_long
sounds,1,0,2
twice,1,0,2
roared,1,0,3
taken,1,0,4
doctor,2,14,2
last,2,5,3
great,2,4,2
done,2,4,3
fifty,2,4,3
god,2,4,4
side,2,4,4
air,2,3,0
going,2,3,0
added,2,3,2
give,2,3,2
money,2,3,2
next,2,3,2
thousand,2,3,2
to-morrow,2,3,2
night,2,3,3
slowly,2,3,3
least,2,3,4
coat,2,2,0
legs,2,2,0
merchants,2,2,0
st,2,2,0
thank,2,2,0
turned,2,2,0
use,2,2,0
avoid,2,2,1
double,2,2,1
know,2,2,1
monday,2,2,1
name,2,2,1
seventy,2,2,1
touched,2,2,1
tried,2,2,1
ago,2,2,2
alone,2,2,2
bird,2,2,2
cheeks,2,2,2
dogs,2,2,2
ducks,2,2,2
fever,2,2,2
first,2,2,2
four,2,2,2
garlic,2,2,2
iron,2,2,2
let,2,2,2
many,2,2,2
officials,2,2,2
pale,2,2,2
peasants,2,2,2
sin,2,2,2
smiling,2,2,2
songs,2,2,2
stopped,2,2,2
timid,2,2,2
world,2,2,2
crossed,2,2,3
flying,2,2,3
red,2,2,3
wife,2,2,3
birch,2,2,4
book,2,2,4
ah,2,1,0
fact,2,1,0
feeling,2,1,0
gain,2,1,0
leave,2,1,0
necessity,2,1,0
picked,2,1,0
plaintive,2,1,0
really,2,1,0
scold,2,1,0
sigh,2,1,0
things,2,1,0
together,2,1,0
wanted,2,1,0
attention,2,1,1
excuse,2,1,1
figure,2,1,1
ground,2,1,1
house,2,1,1
laid,2,1,1
mind,2,1,1
patients,2,1,1
peasant,2,1,1
sorry,2,1,1
weep,2,1,1
buy,2,1,2
dark,2,1,2
hair,2,1,2
hatred,2,1,2
measure,2,1,2
reflected,2,1,2
running,2,1,2
send,2,1,2
to-day,2,1,2
extreme,2,1,3
weddings,2,1,3
affectionate,2,0,0
bathing-shed,2,0,0
beads,2,0,0
became,2,0,0
chief,2,0,0
chill,2,0,0
consulting,2,0,0
continually,2,0,0
copse,2,0,0
doorway,2,0,0
fellow,2,0,0
flaxen,2,0,0
front,2,0,0
grazing,2,0,0
heaved,2,0,0
here's,2,0,0
laboured,2,0,0
liked,2,0,0
likely,2,0,0
moved,2,0,0
offended,2,0,0
province,2,0,0
rage,2,0,0
reckoning,2,0,0
rule,2,0,0
shouting,2,0,0
sorrowful,2,0,0
sorts,2,0,0
spent,2,0,0
superintendent,2,0,0
there's,2,0,0
trickled,2,0,0
unlucky,2,0,0
vachhh,2,0,0
wailed,2,0,0
willows,2,0,0
wondered,2,0,0
flew,2,0,1
lady,2,0,1
overcome,2,0,1
strange,2,0,1
whether,2,0,1
anyone,2,0,2
compress,2,0,2
feet,2,0,2
good-bye,2,0,2
lighted,2,0,2
respect,2,0,2
something,2,0,2
dying,2,0,3
everyone,2,0,3
street,2,0,3
towards,2,0,5
left,3,5,2
thing,3,5,2
must,3,5,3
two,3,5,4
every,3,5,5
head,3,5,5
take,3,5,5
terrible,3,4,1
grave,3,4,2
seemed,3,4,2
suddenly,3,4,2
called,3,4,3
flute,3,4,3
tears,3,4,3
ten,3,4,3
cold,3,4,5
death,3,4,5
happened,3,3,1
hot,3,3,2
pine,3,3,2
priest,3,3,2
women,3,3,2
boys,3,3,3
stood,3,3,3
gone,3,2,0
asked,3,2,1
course,3,2,1
especially,3,2,1
ever,3,2,1
right,3,2,1
wants,3,2,1
forest,3,2,2
poor,3,2,2
soon,3,2,2
times,3,2,2
dog,3,2,3
jews,3,2,3
fish,3,2,4
better,3,2,6
sitting,3,1,0
breathing,3,1,1
live,3,1,1
meant,3,1,1
quite,3,1,1
drank,3,1,2
memory,3,1,2
prison,3,1,2
seeing,3,1,2
tone,3,1,2
fists,3,1,3
terror,3,1,3
make,3,1,5
yet,3,1,7
benefit,3,0,0
crimson,3,0,0
shahkes,3,0,0
trumpery,3,0,0
willow-tree,3,0,0
can't,3,0,1
much,3,0,3
lay,4,9,4
years,4,7,7
die,4,6,2
go,4,6,2
shouted,4,6,2
another,4,6,6
wedding,4,5,2
get,4,5,3
walked,4,5,3
ill,4,5,4
look,4,5,4
hands,4,4,2
bad,4,4,3
evening,4,4,4
hospital,4,4,4
morning,4,4,4
orchestra,4,4,4
stove,4,4,4
making,4,3,1
ran,4,3,1
remember,4,3,1
forty,4,3,3
paid,4,3,3
sat,4,3,7
playing,4,2,1
reason,4,2,1
us,4,2,1
boats,4,1,0
case,4,1,0
see,4,1,2
big,4,0,0
ilyitch,4,0,0
moisey,4,0,0
play,5,7,3
played,5,7,7
like,5,6,4
geese,5,6,5
work,5,6,6
hut,5,5,1
looked,5,5,3
bank,5,5,4
away,5,5,5
might,5,5,5
powders,5,5,5
loss,5,5,7
died,5,4,4
saw,5,4,4
days,5,4,5
along,5,3,2
home,5,3,3
lived,5,3,3
drink,5,3,4
felt,5,3,7
baby,5,2,1
room,5,2,3
half,5,1,2
long,6,8,3
without,6,8,10
eyes,6,7,6
river,6,7,6
coffins,6,7,7
well,6,5,1
made,6,5,8
say,6,4,1
water,6,4,5
bed,6,4,6
assistant,6,3,0
gave,6,3,2
sent,6,3,2
expression,6,3,5
wasted,6,0,0
man,7,15,9
always,7,10,3
came,7,10,8
good,7,7,4
roubles,7,7,7
year,7,6,4
took,7,6,6
could,7,5,6
used,7,4,1
looking,7,1,4
maxim,7,0,5
nikolaitch,7,0,5
time,8,10,8
never,8,10,16
bronze,8,9,0
come,8,7,4
went,8,7,5
jew,8,7,8
got,8,2,3
little,9,14,6
thought,9,8,5
even,9,8,10
coffin,9,7,6
put,9,6,3
though,9,0,2
woman,10,11,7
people,10,6,4
day,11,14,8
life,11,12,13
town,11,9,10
nothing,11,6,3
face,12,11,12
began,12,9,10
losses,13,17,17
rothschild,14,15,14
marfa,14,0,16
fiddle,18,15,19
said,19,13,16
old,21,22,13
one,21,19,16
would,25,32,22
yakov,45,0,0
